transaction_id,user_id,amount,currency,country,merchant_category,is_international,is_fraud
tx1001,u001,25.50,USD,US,mobile_money_transfer,false,0
tx1002,u002,1200.00,KES,KE,cash_pickup,true,1
tx1003,u003,75.20,EUR,FR,mobile_money_transfer,false,0
tx1004,u004,540.00,NGN,NG,bank_transfer,true,1
tx1005,u005,15.99,GHS,GH,mobile_money_transfer,false,0
tx1006,u006,2200.00,GBP,GB,cash_pickup,true,1
tx1007,u007,89.00,INR,IN,mobile_money_transfer,false,0
tx1008,u008,650.00,PHP,PH,bank_transfer,true,1
tx1009,u009,42.30,EUR,DE,mobile_money_transfer,false,0
tx1010,u010,3100.00,MXN,MX,cash_pickup,true,1
tx1011,u011,20.00,AUD,AU,mobile_money_transfer,false,0
tx1012,u012,110.00,CAD,CA,bank_transfer,false,0
tx1013,u013,35.50,BRL,BR,cash_pickup,false,0
tx1014,u014,80.00,CHF,CH,mobile_money_transfer,false,0
tx1015,u015,50.00,CNY,CN,bank_transfer,false,0
tx1016,u016,95.00,JPY,JP,mobile_money_transfer,false,0
tx1017,u017,180.00,SGD,SG,bank_transfer,false,0
tx1018,u018,60.00,NZD,NZ,cash_pickup,false,0
tx1019,u019,75.00,SEK,SE,mobile_money_transfer,false,0
tx1020,u020,45.00,NOK,NO,bank_transfer,false,0
tx1021,u021,500.00,TRY,TR,cash_pickup,true,1
tx1022,u022,120.00,DKK,DK,mobile_money_transfer,false,0
tx1023,u023,90.00,ZAR,ZA,bank_transfer,false,0
tx1024,u024,250.00,ARS,AR,cash_pickup,true,1
tx1025,u025,40.00,RUB,RU,mobile_money_transfer,false,0
tx1026,u026,15.00,PLN,PL,bank_transfer,false,0
tx1027,u027,30.00,THB,TH,cash_pickup,false,0
tx1028,u028,20.00,MYR,MY,mobile_money_transfer,false,0
tx1029,u029,700.00,IDR,ID,bank_transfer,true,1
tx1030,u030,55.00,VND,VN,mobile_money_transfer,false,0
